VTX, IDX, _input0.x, _input0.y, _input0.z, _input2.x, _input2.y, _input2.z, _input3.x, _input3.y, _input3.z, _input3.w, _input1.x, _input1.y, _input4.x, _input4.y, _input5.x, _input5.y, _input5.z, _input6.x, _input6.y, _input6.z, _input6.w, _input7.x, _input7.y, _input7.z, _input7.w
1541, 399, 0.10413, -0.11073, 1.30807, 0.97415, -0.18572, -0.12864, -0.19001, -0.98154, -0.0218, -1.00, 0.05609, 0.51119, -0.00836, 0.00544, 0.10413, -0.11073, 1.30807, 0.77536, 0.22464, 0.00, 0.00, 2, 1, 0, 0
1542, 399, 0.10413, -0.11073, 1.30807, 0.97415, -0.18572, -0.12864, -0.19001, -0.98154, -0.0218, -1.00, 0.05609, 0.51119, -0.00836, 0.00544, 0.10413, -0.11073, 1.30807, 0.77536, 0.22464, 0.00, 0.00, 2, 1, 0, 0
1543, 392, 0.10088, -0.12924, 1.32705, 0.92475, -0.38042, 0.01077, -0.37872, -0.92268, -0.07231, -1.00, 0.06577, 0.5218, -0.00114, 0.00026, 0.10088, -0.12924, 1.32705, 0.91819, 0.08181, 0.00, 0.00, 2, 1, 0, 0
1544, 391, 0.09906, -0.12882, 1.30805, 0.9143, -0.39394, -0.09416, -0.39997, -0.91479, -0.05646, -1.00, 0.06573, 0.51165, -0.03128, 0.006, 0.09906, -0.12882, 1.30805, 0.86677, 0.13322, 0.00, 0.00, 2, 1, 0, 0
1545, 392, 0.10088, -0.12924, 1.32705, 0.92475, -0.38042, 0.01077, -0.37872, -0.92268, -0.07231, -1.00, 0.06577, 0.5218, -0.00114, 0.00026, 0.10088, -0.12924, 1.32705, 0.91819, 0.08181, 0.00, 0.00, 2, 1, 0, 0
1546, 400, 0.0991, -0.12821, 1.34608, 0.91019, -0.36795, 0.19015, -0.32402, -0.91855, -0.22646, -1.00, 0.06599, 0.5289, 0.01077, 0.05599, 0.0991, -0.12821, 1.34608, 0.89466, 0.10534, 0.00, 0.00, 2, 1, 0, 0
1547, 386, 0.08935, -0.14432, 1.34622, 0.741, -0.63642, 0.21421, -0.55073, -0.75849, -0.3484, -1.00, 0.07517, 0.53685, 0.01095, 0.11649, 0.08935, -0.14432, 1.34622, 0.98182, 0.01818, 0.00, 0.00, 2, 1, 0, 0
1548, 386, 0.08935, -0.14432, 1.34622, 0.741, -0.63642, 0.21421, -0.55073, -0.75849, -0.3484, -1.00, 0.07517, 0.53685, 0.01095, 0.11649, 0.08935, -0.14432, 1.34622, 0.98182, 0.01818, 0.00, 0.00, 2, 1, 0, 0
1549, 400, 0.0991, -0.12821, 1.34608, 0.91019, -0.36795, 0.19015, -0.32402, -0.91855, -0.22646, -1.00, 0.06599, 0.5289, 0.01077, 0.05599, 0.0991, -0.12821, 1.34608, 0.89466, 0.10534, 0.00, 0.00, 2, 1, 0, 0
1550, 401, 0.09643, -0.12698, 1.35347, 0.84461, -0.34993, 0.4052, -0.25613, -0.9287, -0.26815, -1.00, 0.06606, 0.53685, 0.0268, 0.02459, 0.09643, -0.12698, 1.35347, 0.86989, 0.13011, 0.00, 0.00, 2, 1, 0, 0
1551, 395, 0.09673, -0.12791, 1.27992, 0.96289, -0.14737, -0.22612, -0.17084, -0.98137, -0.08787, -1.00, 0.06556, 0.49671, 0.05794, 0.03582, 0.09673, -0.12791, 1.27992, 0.52764, 0.38189, 0.09047, 0.00, 2, 1, 3, 0
1552, 396, 0.0904, -0.10779, 1.25746, 0.93476, -0.19419, -0.29752, -0.20537, -0.97866, -0.00648, -1.00, 0.05532, 0.48328, 0.0213, -0.00167, 0.0904, -0.10779, 1.25746, 0.69628, 0.18045, 0.12328, 0.00, 1, 2, 3, 0
1553, 402, 0.09822, -0.10988, 1.28008, 0.95584, -0.14587, -0.25513, -0.15815, -0.98701, -0.02821, -1.00, 0.05574, 0.49606, 0.0391, -0.00278, 0.09822, -0.10988, 1.28008, 0.51645, 0.42355, 0.06, 0.00, 1, 2, 3, 0
1554, 399, 0.10413, -0.11073, 1.30807, 0.97415, -0.18572, -0.12864, -0.19001, -0.98154, -0.0218, -1.00, 0.05609, 0.51119, -0.00836, 0.00544, 0.10413, -0.11073, 1.30807, 0.77536, 0.22464, 0.00, 0.00, 2, 1, 0, 0
1555, 395, 0.09673, -0.12791, 1.27992, 0.96289, -0.14737, -0.22612, -0.17084, -0.98137, -0.08787, -1.00, 0.06556, 0.49671, 0.05794, 0.03582, 0.09673, -0.12791, 1.27992, 0.52764, 0.38189, 0.09047, 0.00, 2, 1, 3, 0
1556, 402, 0.09822, -0.10988, 1.28008, 0.95584, -0.14587, -0.25513, -0.15815, -0.98701, -0.02821, -1.00, 0.05574, 0.49606, 0.0391, -0.00278, 0.09822, -0.10988, 1.28008, 0.51645, 0.42355, 0.06, 0.00, 1, 2, 3, 0
1557, 396, 0.0904, -0.10779, 1.25746, 0.93476, -0.19419, -0.29752, -0.20537, -0.97866, -0.00648, -1.00, 0.05532, 0.48328, 0.0213, -0.00167, 0.0904, -0.10779, 1.25746, 0.69628, 0.18045, 0.12328, 0.00, 1, 2, 3, 0
1558, 398, 0.09309, -0.09136, 1.2373, 0.84721, -0.48807, -0.20981, -0.4786, -0.87262, 0.09734, -1.00, 0.04483, 0.4738, 0.02952, 0.03258, 0.09309, -0.09136, 1.2373, 0.89521, 0.06496, 0.02595, 0.01388, 1, 3, 8, 2
1559, 403, 0.09766, -0.0917, 1.25745, 0.89223, -0.38923, -0.22897, -0.37964, -0.92109, 0.08645, -1.00, 0.04524, 0.48398, -0.02184, 0.02113, 0.09766, -0.0917, 1.25745, 0.89889, 0.08019, 0.02092, 0.00, 1, 2, 3, 0
1560, 396, 0.0904, -0.10779, 1.25746, 0.93476, -0.19419, -0.29752, -0.20537, -0.97866, -0.00648, -1.00, 0.05532, 0.48328, 0.0213, -0.00167, 0.0904, -0.10779, 1.25746, 0.69628, 0.18045, 0.12328, 0.00, 1, 2, 3, 0
1561, 403, 0.09766, -0.0917, 1.25745, 0.89223, -0.38923, -0.22897, -0.37964, -0.92109, 0.08645, -1.00, 0.04524, 0.48398, -0.02184, 0.02113, 0.09766, -0.0917, 1.25745, 0.89889, 0.08019, 0.02092, 0.00, 1, 2, 3, 0
1562, 402, 0.09822, -0.10988, 1.28008, 0.95584, -0.14587, -0.25513, -0.15815, -0.98701, -0.02821, -1.00, 0.05574, 0.49606, 0.0391, -0.00278, 0.09822, -0.10988, 1.28008, 0.51645, 0.42355, 0.06, 0.00, 1, 2, 3, 0
1563, 404, 0.10149, -0.07791, 1.23573, 0.91314, -0.39829, -0.08684, -0.38903, -0.91507, 0.1063, -1.00, 0.03558, 0.4738, -0.03791, 0.04686, 0.10149, -0.07791, 1.23573, 0.83667, 0.10671, 0.03508, 0.02153, 1, 8, 3, 2
1564, 403, 0.09766, -0.0917, 1.25745, 0.89223, -0.38923, -0.22897, -0.37964, -0.92109, 0.08645, -1.00, 0.04524, 0.48398, -0.02184, 0.02113, 0.09766, -0.0917, 1.25745, 0.89889, 0.08019, 0.02092, 0.00, 1, 2, 3, 0
1565, 398, 0.09309, -0.09136, 1.2373, 0.84721, -0.48807, -0.20981, -0.4786, -0.87262, 0.09734, -1.00, 0.04483, 0.4738, 0.02952, 0.03258, 0.09309, -0.09136, 1.2373, 0.89521, 0.06496, 0.02595, 0.01388, 1, 3, 8, 2
1566, 405, 0.10643, -0.11075, 1.32711, 0.97913, -0.20307, -0.00849, -0.20325, -0.97832, -0.03979, -1.00, 0.05636, 0.52136, -0.0008, 0.0017, 0.10643, -0.11075, 1.32711, 0.78719, 0.21281, 0.00, 0.00, 2, 1, 0, 0
1567, 400, 0.0991, -0.12821, 1.34608, 0.91019, -0.36795, 0.19015, -0.32402, -0.91855, -0.22646, -1.00, 0.06599, 0.5289, 0.01077, 0.05599, 0.0991, -0.12821, 1.34608, 0.89466, 0.10534, 0.00, 0.00, 2, 1, 0, 0
1568, 392, 0.10088, -0.12924, 1.32705, 0.92475, -0.38042, 0.01077, -0.37872, -0.92268, -0.07231, -1.00, 0.06577, 0.5218, -0.00114, 0.00026, 0.10088, -0.12924, 1.32705, 0.91819, 0.08181, 0.00, 0.00, 2, 1, 0, 0
1569, 399, 0.10413, -0.11073, 1.30807, 0.97415, -0.18572, -0.12864, -0.19001, -0.98154, -0.0218, -1.00, 0.05609, 0.51119, -0.00836, 0.00544, 0.10413, -0.11073, 1.30807, 0.77536, 0.22464, 0.00, 0.00, 2, 1, 0, 0
1570, 405, 0.10643, -0.11075, 1.32711, 0.97913, -0.20307, -0.00849, -0.20325, -0.97832, -0.03979, -1.00, 0.05636, 0.52136, -0.0008, 0.0017, 0.10643, -0.11075, 1.32711, 0.78719, 0.21281, 0.00, 0.00, 2, 1, 0, 0
1571, 392, 0.10088, -0.12924, 1.32705, 0.92475, -0.38042, 0.01077, -0.37872, -0.92268, -0.07231, -1.00, 0.06577, 0.5218, -0.00114, 0.00026, 0.10088, -0.12924, 1.32705, 0.91819, 0.08181, 0.00, 0.00, 2, 1, 0, 0
1572, 401, 0.09643, -0.12698, 1.35347, 0.84461, -0.34993, 0.4052, -0.25613, -0.9287, -0.26815, -1.00, 0.06606, 0.53685, 0.0268, 0.02459, 0.09643, -0.12698, 1.35347, 0.86989, 0.13011, 0.00, 0.00, 2, 1, 0, 0
1573, 400, 0.0991, -0.12821, 1.34608, 0.91019, -0.36795, 0.19015, -0.32402, -0.91855, -0.22646, -1.00, 0.06599, 0.5289, 0.01077, 0.05599, 0.0991, -0.12821, 1.34608, 0.89466, 0.10534, 0.00, 0.00, 2, 1, 0, 0
1574, 406, 0.10429, -0.1099, 1.34555, 0.95766, -0.20482, 0.20235, -0.1937, -0.9783, -0.07353, -1.00, 0.05674, 0.52802, -0.00358, 0.0301, 0.10429, -0.1099, 1.34555, 0.71223, 0.27362, 0.01416, 0.00, 2, 1, 6, 0
1575, 405, 0.10643, -0.11075, 1.32711, 0.97913, -0.20307, -0.00849, -0.20325, -0.97832, -0.03979, -1.00, 0.05636, 0.52136, -0.0008, 0.0017, 0.10643, -0.11075, 1.32711, 0.78719, 0.21281, 0.00, 0.00, 2, 1, 0, 0
1576, 406, 0.10429, -0.1099, 1.34555, 0.95766, -0.20482, 0.20235, -0.1937, -0.9783, -0.07353, -1.00, 0.05674, 0.52802, -0.00358, 0.0301, 0.10429, -0.1099, 1.34555, 0.71223, 0.27362, 0.01416, 0.00, 2, 1, 6, 0
1577, 400, 0.0991, -0.12821, 1.34608, 0.91019, -0.36795, 0.19015, -0.32402, -0.91855, -0.22646, -1.00, 0.06599, 0.5289, 0.01077, 0.05599, 0.0991, -0.12821, 1.34608, 0.89466, 0.10534, 0.00, 0.00, 2, 1, 0, 0
1578, 401, 0.09643, -0.12698, 1.35347, 0.84461, -0.34993, 0.4052, -0.25613, -0.9287, -0.26815, -1.00, 0.06606, 0.53685, 0.0268, 0.02459, 0.09643, -0.12698, 1.35347, 0.86989, 0.13011, 0.00, 0.00, 2, 1, 0, 0
1579, 406, 0.10429, -0.1099, 1.34555, 0.95766, -0.20482, 0.20235, -0.1937, -0.9783, -0.07353, -1.00, 0.05674, 0.52802, -0.00358, 0.0301, 0.10429, -0.1099, 1.34555, 0.71223, 0.27362, 0.01416, 0.00, 2, 1, 6, 0
1580, 407, 0.10012, -0.10875, 1.35739, 0.90713, -0.19736, 0.3717, -0.16256, -0.97899, -0.12308, -1.00, 0.05697, 0.53685, 0.01382, 0.02467, 0.10012, -0.10875, 1.35739, 0.67291, 0.32709, 0.00, 0.00, 2, 1, 0, 0
1581, 402, 0.09822, -0.10988, 1.28008, 0.95584, -0.14587, -0.25513, -0.15815, -0.98701, -0.02821, -1.00, 0.05574, 0.49606, 0.0391, -0.00278, 0.09822, -0.10988, 1.28008, 0.51645, 0.42355, 0.06, 0.00, 1, 2, 3, 0
1582, 408, 0.10311, -0.09247, 1.28002, 0.98661, -0.10203, -0.12722, -0.09782, -0.99444, 0.03889, -1.00, 0.04586, 0.49635, 0.04339, -0.0181, 0.10311, -0.09247, 1.28002, 0.67493, 0.29507, 0.03, 0.00, 1, 2, 3, 0
1583, 399, 0.10413, -0.11073, 1.30807, 0.97415, -0.18572, -0.12864, -0.19001, -0.98154, -0.0218, -1.00, 0.05609, 0.51119, -0.00836, 0.00544, 0.10413, -0.11073, 1.30807, 0.77536, 0.22464, 0.00, 0.00, 2, 1, 0, 0
1584, 402, 0.09822, -0.10988, 1.28008, 0.95584, -0.14587, -0.25513, -0.15815, -0.98701, -0.02821, -1.00, 0.05574, 0.49606, 0.0391, -0.00278, 0.09822, -0.10988, 1.28008, 0.51645, 0.42355, 0.06, 0.00, 1, 2, 3, 0
1585, 403, 0.09766, -0.0917, 1.25745, 0.89223, -0.38923, -0.22897, -0.37964, -0.92109, 0.08645, -1.00, 0.04524, 0.48398, -0.02184, 0.02113, 0.09766, -0.0917, 1.25745, 0.89889, 0.08019, 0.02092, 0.00, 1, 2, 3, 0
1586, 408, 0.10311, -0.09247, 1.28002, 0.98661, -0.10203, -0.12722, -0.09782, -0.99444, 0.03889, -1.00, 0.04586, 0.49635, 0.04339, -0.0181, 0.10311, -0.09247, 1.28002, 0.67493, 0.29507, 0.03, 0.00, 1, 2, 3, 0
1587, 409, 0.10298, -0.07622, 1.25738, 0.9955, -0.08521, -0.04136, -0.08109, -0.99239, 0.09261, -1.00, 0.0359, 0.48477, 0.0392, -0.01266, 0.10298, -0.07622, 1.25738, 0.93122, 0.04878, 0.02, 0.00, 1, 2, 3, 0
1588, 403, 0.09766, -0.0917, 1.25745, 0.89223, -0.38923, -0.22897, -0.37964, -0.92109, 0.08645, -1.00, 0.04524, 0.48398, -0.02184, 0.02113, 0.09766, -0.0917, 1.25745, 0.89889, 0.08019, 0.02092, 0.00, 1, 2, 3, 0
1589, 404, 0.10149, -0.07791, 1.23573, 0.91314, -0.39829, -0.08684, -0.38903, -0.91507, 0.1063, -1.00, 0.03558, 0.4738, -0.03791, 0.04686, 0.10149, -0.07791, 1.23573, 0.83667, 0.10671, 0.03508, 0.02153, 1, 8, 3, 2
1590, 408, 0.10311, -0.09247, 1.28002, 0.98661, -0.10203, -0.12722, -0.09782, -0.99444, 0.03889, -1.00, 0.04586, 0.49635, 0.04339, -0.0181, 0.10311, -0.09247, 1.28002, 0.67493, 0.29507, 0.03, 0.00, 1, 2, 3, 0
1591, 403, 0.09766, -0.0917, 1.25745, 0.89223, -0.38923, -0.22897, -0.37964, -0.92109, 0.08645, -1.00, 0.04524, 0.48398, -0.02184, 0.02113, 0.09766, -0.0917, 1.25745, 0.89889, 0.08019, 0.02092, 0.00, 1, 2, 3, 0
1592, 409, 0.10298, -0.07622, 1.25738, 0.9955, -0.08521, -0.04136, -0.08109, -0.99239, 0.09261, -1.00, 0.0359, 0.48477, 0.0392, -0.01266, 0.10298, -0.07622, 1.25738, 0.93122, 0.04878, 0.02, 0.00, 1, 2, 3, 0
1593, 410, 0.10302, -0.0711, 1.23503, 0.99965, -0.00961, -0.02483, -0.00829, -0.99858, 0.05261, -1.00, 0.03152, 0.4738, 0.03481, -0.00212, 0.10302, -0.0711, 1.23503, 0.81805, 0.13578, 0.02944, 0.01673, 1, 8, 3, 2
1594, 409, 0.10298, -0.07622, 1.25738, 0.9955, -0.08521, -0.04136, -0.08109, -0.99239, 0.09261, -1.00, 0.0359, 0.48477, 0.0392, -0.01266, 0.10298, -0.07622, 1.25738, 0.93122, 0.04878, 0.02, 0.00, 1, 2, 3, 0
1595, 404, 0.10149, -0.07791, 1.23573, 0.91314, -0.39829, -0.08684, -0.38903, -0.91507, 0.1063, -1.00, 0.03558, 0.4738, -0.03791, 0.04686, 0.10149, -0.07791, 1.23573, 0.83667, 0.10671, 0.03508, 0.02153, 1, 8, 3, 2
1596, 405, 0.10643, -0.11075, 1.32711, 0.97913, -0.20307, -0.00849, -0.20325, -0.97832, -0.03979, -1.00, 0.05636, 0.52136, -0.0008, 0.0017, 0.10643, -0.11075, 1.32711, 0.78719, 0.21281, 0.00, 0.00, 2, 1, 0, 0
1597, 399, 0.10413, -0.11073, 1.30807, 0.97415, -0.18572, -0.12864, -0.19001, -0.98154, -0.0218, -1.00, 0.05609, 0.51119, -0.00836, 0.00544, 0.10413, -0.11073, 1.30807, 0.77536, 0.22464, 0.00, 0.00, 2, 1, 0, 0
1598, 411, 0.10566, -0.092, 1.30819, 0.99251, -0.02147, -0.12023, -0.0178, -0.99935, 0.03147, -1.00, 0.04646, 0.5113, 0.00271, -0.00512, 0.10566, -0.092, 1.30819, 0.61406, 0.38594, 0.00, 0.00, 2, 1, 0, 0
1599, 399, 0.10413, -0.11073, 1.30807, 0.97415, -0.18572, -0.12864, -0.19001, -0.98154, -0.0218, -1.00, 0.05609, 0.51119, -0.00836, 0.00544, 0.10413, -0.11073, 1.30807, 0.77536, 0.22464, 0.00, 0.00, 2, 1, 0, 0
1600, 408, 0.10311, -0.09247, 1.28002, 0.98661, -0.10203, -0.12722, -0.09782, -0.99444, 0.03889, -1.00, 0.04586, 0.49635, 0.04339, -0.0181, 0.10311, -0.09247, 1.28002, 0.67493, 0.29507, 0.03, 0.00, 1, 2, 3, 0
1601, 411, 0.10566, -0.092, 1.30819, 0.99251, -0.02147, -0.12023, -0.0178, -0.99935, 0.03147, -1.00, 0.04646, 0.5113, 0.00271, -0.00512, 0.10566, -0.092, 1.30819, 0.61406, 0.38594, 0.00, 0.00, 2, 1, 0, 0
1602, 406, 0.10429, -0.1099, 1.34555, 0.95766, -0.20482, 0.20235, -0.1937, -0.9783, -0.07353, -1.00, 0.05674, 0.52802, -0.00358, 0.0301, 0.10429, -0.1099, 1.34555, 0.71223, 0.27362, 0.01416, 0.00, 2, 1, 6, 0
1603, 405, 0.10643, -0.11075, 1.32711, 0.97913, -0.20307, -0.00849, -0.20325, -0.97832, -0.03979, -1.00, 0.05636, 0.52136, -0.0008, 0.0017, 0.10643, -0.11075, 1.32711, 0.78719, 0.21281, 0.00, 0.00, 2, 1, 0, 0
1604, 412, 0.109, -0.09172, 1.3271, 0.99902, -0.03546, -0.02639, -0.03435, -0.99855, 0.04141, -1.00, 0.04697, 0.52132, 0.00873, -0.00511, 0.109, -0.09172, 1.3271, 0.55954, 0.41151, 0.02895, 0.00, 2, 1, 6, 0
1605, 405, 0.10643, -0.11075, 1.32711, 0.97913, -0.20307, -0.00849, -0.20325, -0.97832, -0.03979, -1.00, 0.05636, 0.52136, -0.0008, 0.0017, 0.10643, -0.11075, 1.32711, 0.78719, 0.21281, 0.00, 0.00, 2, 1, 0, 0
1606, 411, 0.10566, -0.092, 1.30819, 0.99251, -0.02147, -0.12023, -0.0178, -0.99935, 0.03147, -1.00, 0.04646, 0.5113, 0.00271, -0.00512, 0.10566, -0.092, 1.30819, 0.61406, 0.38594, 0.00, 0.00, 2, 1, 0, 0
1607, 412, 0.109, -0.09172, 1.3271, 0.99902, -0.03546, -0.02639, -0.03435, -0.99855, 0.04141, -1.00, 0.04697, 0.52132, 0.00873, -0.00511, 0.109, -0.09172, 1.3271, 0.55954, 0.41151, 0.02895, 0.00, 2, 1, 6, 0
1608, 407, 0.10012, -0.10875, 1.35739, 0.90713, -0.19736, 0.3717, -0.16256, -0.97899, -0.12308, -1.00, 0.05697, 0.53685, 0.01382, 0.02467, 0.10012, -0.10875, 1.35739, 0.67291, 0.32709, 0.00, 0.00, 2, 1, 0, 0
1609, 406, 0.10429, -0.1099, 1.34555, 0.95766, -0.20482, 0.20235, -0.1937, -0.9783, -0.07353, -1.00, 0.05674, 0.52802, -0.00358, 0.0301, 0.10429, -0.1099, 1.34555, 0.71223, 0.27362, 0.01416, 0.00, 2, 1, 6, 0
1610, 413, 0.10727, -0.09106, 1.34502, 0.9821, -0.0545, 0.18029, -0.06536, -0.99635, 0.05485, -1.00, 0.04744, 0.52728, 0.00726, 0.00733, 0.10727, -0.09106, 1.34502, 0.49363, 0.44614, 0.06024, 0.00, 1, 2, 6, 0
1611, 406, 0.10429, -0.1099, 1.34555, 0.95766, -0.20482, 0.20235, -0.1937, -0.9783, -0.07353, -1.00, 0.05674, 0.52802, -0.00358, 0.0301, 0.10429, -0.1099, 1.34555, 0.71223, 0.27362, 0.01416, 0.00, 2, 1, 6, 0
1612, 412, 0.109, -0.09172, 1.3271, 0.99902, -0.03546, -0.02639, -0.03435, -0.99855, 0.04141, -1.00, 0.04697, 0.52132, 0.00873, -0.00511, 0.109, -0.09172, 1.3271, 0.55954, 0.41151, 0.02895, 0.00, 2, 1, 6, 0
1613, 413, 0.10727, -0.09106, 1.34502, 0.9821, -0.0545, 0.18029, -0.06536, -0.99635, 0.05485, -1.00, 0.04744, 0.52728, 0.00726, 0.00733, 0.10727, -0.09106, 1.34502, 0.49363, 0.44614, 0.06024, 0.00, 1, 2, 6, 0
1614, 407, 0.10012, -0.10875, 1.35739, 0.90713, -0.19736, 0.3717, -0.16256, -0.97899, -0.12308, -1.00, 0.05697, 0.53685, 0.01382, 0.02467, 0.10012, -0.10875, 1.35739, 0.67291, 0.32709, 0.00, 0.00, 2, 1, 0, 0
1615, 413, 0.10727, -0.09106, 1.34502, 0.9821, -0.0545, 0.18029, -0.06536, -0.99635, 0.05485, -1.00, 0.04744, 0.52728, 0.00726, 0.00733, 0.10727, -0.09106, 1.34502, 0.49363, 0.44614, 0.06024, 0.00, 1, 2, 6, 0
1616, 414, 0.1022, -0.09002, 1.3604, 0.94679, -0.09726, 0.3068, -0.12792, -0.98844, 0.08141, -1.00, 0.04774, 0.53685, 0.02481, 0.08661, 0.1022, -0.09002, 1.3604, 0.55294, 0.39629, 0.05078, 0.00, 1, 2, 6, 0
1617, 413, 0.10727, -0.09106, 1.34502, 0.9821, -0.0545, 0.18029, -0.06536, -0.99635, 0.05485, -1.00, 0.04744, 0.52728, 0.00726, 0.00733, 0.10727, -0.09106, 1.34502, 0.49363, 0.44614, 0.06024, 0.00, 1, 2, 6, 0
1618, 415, 0.10493, -0.07376, 1.35644, 0.97873, 0.0252, 0.20361, 0.01943, -0.99935, 0.0303, -1.00, 0.03828, 0.53685, -0.0041, -0.00624, 0.10493, -0.07376, 1.35644, 0.57349, 0.28834, 0.13817, 0.00, 1, 2, 6, 0
1619, 414, 0.1022, -0.09002, 1.3604, 0.94679, -0.09726, 0.3068, -0.12792, -0.98844, 0.08141, -1.00, 0.04774, 0.53685, 0.02481, 0.08661, 0.1022, -0.09002, 1.3604, 0.55294, 0.39629, 0.05078, 0.00, 1, 2, 6, 0
1620, 413, 0.10727, -0.09106, 1.34502, 0.9821, -0.0545, 0.18029, -0.06536, -0.99635, 0.05485, -1.00, 0.04744, 0.52728, 0.00726, 0.00733, 0.10727, -0.09106, 1.34502, 0.49363, 0.44614, 0.06024, 0.00, 1, 2, 6, 0
1621, 416, 0.10565, -0.06861, 1.34373, 0.98762, 0.07111, 0.13984, 0.05877, -0.99417, 0.09045, -1.00, 0.03658, 0.52777, -0.0213, -0.0186, 0.10565, -0.06861, 1.34373, 0.6308, 0.22682, 0.14238, 0.00, 1, 2, 6, 0
1622, 415, 0.10493, -0.07376, 1.35644, 0.97873, 0.0252, 0.20361, 0.01943, -0.99935, 0.0303, -1.00, 0.03828, 0.53685, -0.0041, -0.00624, 0.10493, -0.07376, 1.35644, 0.57349, 0.28834, 0.13817, 0.00, 1, 2, 6, 0
1623, 416, 0.10565, -0.06861, 1.34373, 0.98762, 0.07111, 0.13984, 0.05877, -0.99417, 0.09045, -1.00, 0.03658, 0.52777, -0.0213, -0.0186, 0.10565, -0.06861, 1.34373, 0.6308, 0.22682, 0.14238, 0.00, 1, 2, 6, 0
1624, 413, 0.10727, -0.09106, 1.34502, 0.9821, -0.0545, 0.18029, -0.06536, -0.99635, 0.05485, -1.00, 0.04744, 0.52728, 0.00726, 0.00733, 0.10727, -0.09106, 1.34502, 0.49363, 0.44614, 0.06024, 0.00, 1, 2, 6, 0
1625, 412, 0.109, -0.09172, 1.3271, 0.99902, -0.03546, -0.02639, -0.03435, -0.99855, 0.04141, -1.00, 0.04697, 0.52132, 0.00873, -0.00511, 0.109, -0.09172, 1.3271, 0.55954, 0.41151, 0.02895, 0.00, 2, 1, 6, 0
1626, 416, 0.10565, -0.06861, 1.34373, 0.98762, 0.07111, 0.13984, 0.05877, -0.99417, 0.09045, -1.00, 0.03658, 0.52777, -0.0213, -0.0186, 0.10565, -0.06861, 1.34373, 0.6308, 0.22682, 0.14238, 0.00, 1, 2, 6, 0
1627, 417, 0.10231, -0.0563, 1.35902, 0.97632, 0.12837, 0.17414, 0.11601, -0.99006, 0.07947, -1.00, 0.03181, 0.53685, -0.00801, 0.00217, 0.10231, -0.0563, 1.35902, 0.61506, 0.22367, 0.16128, 0.00, 1, 2, 6, 0
1628, 415, 0.10493, -0.07376, 1.35644, 0.97873, 0.0252, 0.20361, 0.01943, -0.99935, 0.0303, -1.00, 0.03828, 0.53685, -0.0041, -0.00624, 0.10493, -0.07376, 1.35644, 0.57349, 0.28834, 0.13817, 0.00, 1, 2, 6, 0
1629, 418, 0.10478, -0.07264, 1.30823, 0.99296, 0.0468, -0.10886, 0.05646, -0.99457, 0.08739, -1.00, 0.03655, 0.51192, -0.00068, -0.01362, 0.10478, -0.07264, 1.30823, 0.55717, 0.3999, 0.04293, 0.00, 1, 2, 6, 0
1630, 411, 0.10566, -0.092, 1.30819, 0.99251, -0.02147, -0.12023, -0.0178, -0.99935, 0.03147, -1.00, 0.04646, 0.5113, 0.00271, -0.00512, 0.10566, -0.092, 1.30819, 0.61406, 0.38594, 0.00, 0.00, 2, 1, 0, 0
1631, 408, 0.10311, -0.09247, 1.28002, 0.98661, -0.10203, -0.12722, -0.09782, -0.99444, 0.03889, -1.00, 0.04586, 0.49635, 0.04339, -0.0181, 0.10311, -0.09247, 1.28002, 0.67493, 0.29507, 0.03, 0.00, 1, 2, 3, 0
1632, 418, 0.10478, -0.07264, 1.30823, 0.99296, 0.0468, -0.10886, 0.05646, -0.99457, 0.08739, -1.00, 0.03655, 0.51192, -0.00068, -0.01362, 0.10478, -0.07264, 1.30823, 0.55717, 0.3999, 0.04293, 0.00, 1, 2, 6, 0
1633, 412, 0.109, -0.09172, 1.3271, 0.99902, -0.03546, -0.02639, -0.03435, -0.99855, 0.04141, -1.00, 0.04697, 0.52132, 0.00873, -0.00511, 0.109, -0.09172, 1.3271, 0.55954, 0.41151, 0.02895, 0.00, 2, 1, 6, 0
1634, 411, 0.10566, -0.092, 1.30819, 0.99251, -0.02147, -0.12023, -0.0178, -0.99935, 0.03147, -1.00, 0.04646, 0.5113, 0.00271, -0.00512, 0.10566, -0.092, 1.30819, 0.61406, 0.38594, 0.00, 0.00, 2, 1, 0, 0
1635, 419, 0.10245, -0.05902, 1.25738, 0.99278, 0.11019, -0.04736, 0.11464, -0.98786, 0.10482, -1.00, 0.02612, 0.48564, -0.00336, 0.01052, 0.10245, -0.05902, 1.25738, 0.92989, 0.03169, 0.02889, 0.00954, 1, 8, 2, 3
1636, 409, 0.10298, -0.07622, 1.25738, 0.9955, -0.08521, -0.04136, -0.08109, -0.99239, 0.09261, -1.00, 0.0359, 0.48477, 0.0392, -0.01266, 0.10298, -0.07622, 1.25738, 0.93122, 0.04878, 0.02, 0.00, 1, 2, 3, 0
1637, 410, 0.10302, -0.0711, 1.23503, 0.99965, -0.00961, -0.02483, -0.00829, -0.99858, 0.05261, -1.00, 0.03152, 0.4738, 0.03481, -0.00212, 0.10302, -0.0711, 1.23503, 0.81805, 0.13578, 0.02944, 0.01673, 1, 8, 3, 2
